City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
204,San Patricio,US,28.017,-97.5169,85.15,59,100,14.05,2021-10-19 21:00:32,overcast clouds
205,Bathsheba,BB,13.2167,-59.5167,74.01,100,40,16.11,2021-10-19 20:53:09,scattered clouds
206,Labuhan,ID,-6.8844,112.2051,79.25,82,100,7.63,2021-10-19 21:00:36,overcast clouds
207,Rongcheng,CN,30.634,117.8517,53.64,92,100,8.16,2021-10-19 21:00:39,overcast clouds
208,Nome,US,64.5011,-165.4064,33.87,86,90,17.27,2021-10-19 20:51:50,mist
209,Saint-Francois,FR,46.4154,3.9054,52.68,93,0,2.3,2021-10-19 20:51:14,clear sky
210,Talcahuano,CL,-36.7167,-73.1167,58.1,77,2,6.78,2021-10-19 21:00:46,clear sky
211,Sioux Lookout,CA,50.1001,-91.917,44.98,81,90,9.22,2021-10-19 20:58:10,overcast clouds
212,Hobyo,SO,5.3505,48.5268,78.33,85,72,12.77,2021-10-19 21:00:51,broken clouds
213,Tutoia,BR,-2.7619,-42.2744,80.8,80,53,12.37,2021-10-19 21:00:53,broken clouds
214,Alta Gracia,AR,-31.6529,-64.4283,82.89,20,0,11.59,2021-10-19 21:00:56,clear sky
215,Oranjemund,NA,-28.55,16.4333,66.94,45,99,4.16,2021-10-19 21:00:59,overcast clouds
216,Chokurdakh,RU,70.6333,147.9167,-10.95,97,97,6.38,2021-10-19 20:46:48,overcast clouds
217,Gueret,FR,46.1667,1.8667,59.63,75,54,5.95,2021-10-19 21:01:03,broken clouds
218,Cururupu,BR,-1.8283,-44.8683,80.55,73,50,5.35,2021-10-19 21:01:06,scattered clouds
219,Broome,US,42.2506,-75.833,65.17,50,0,5.01,2021-10-19 21:01:09,clear sky
220,Dwarka,IN,22.2394,68.9678,80.01,61,4,8.93,2021-10-19 21:01:11,clear sky
221,Wagar,SD,16.1525,36.2032,84.36,48,1,10.63,2021-10-19 21:01:14,clear sky
222,Coari,BR,-4.085,-63.1414,83.98,67,55,1.81,2021-10-19 21:01:17,broken clouds
223,Ravar,IR,31.2656,56.8055,68.68,15,0,4.92,2021-10-19 21:01:21,clear sky
224,Pevek,RU,69.7008,170.3133,15.31,92,100,15.26,2021-10-19 21:01:24,overcast clouds
225,Ridgecrest,US,35.6225,-117.6709,71.69,18,0,2.93,2021-10-19 21:01:26,clear sky
226,Oudtshoorn,ZA,-33.5907,22.2014,59.29,65,0,2.46,2021-10-19 21:01:29,clear sky
227,Kisvarda,HU,48.2167,22.0833,50.07,69,35,7.0,2021-10-19 21:01:32,scattered clouds
228,Sept-Iles,CA,50.2001,-66.3821,49.05,94,90,5.75,2021-10-19 20:56:52,light intensity drizzle
229,Vyartsilya,RU,62.1764,30.693,29.28,83,98,2.37,2021-10-19 21:01:37,overcast clouds
230,Ulaangom,MN,49.9811,92.0667,31.57,70,0,2.37,2021-10-19 21:01:39,clear sky
231,Kolyshley,RU,52.7005,44.5367,40.12,83,86,7.81,2021-10-19 21:01:42,overcast clouds
232,Francistown,BW,-21.17,27.5079,53.4,82,96,16.24,2021-10-19 21:01:44,overcast clouds
233,Kinango,KE,-4.1372,39.3153,70.11,96,69,3.89,2021-10-19 21:01:47,broken clouds
234,Totness,SR,5.8833,-56.3167,82.04,74,62,10.71,2021-10-19 21:01:49,broken clouds
235,Asyut,EG,27.181,31.1837,74.8,41,98,11.97,2021-10-19 21:00:29,overcast clouds
236,Dudinka,RU,69.4058,86.1778,31.35,97,100,10.31,2021-10-19 21:01:54,light snow
237,Cananeia,BR,-25.0147,-47.9267,61.57,86,100,8.55,2021-10-19 21:01:57,overcast clouds
238,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,73,0,4.5,2021-10-19 21:01:59,clear sky
239,Airai,TL,-8.9266,125.4092,60.91,71,53,2.77,2021-10-19 21:02:02,broken clouds
240,Pobe,BJ,6.9801,2.6649,74.61,93,84,5.06,2021-10-19 21:02:05,broken clouds
