City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
144,Ginir,ET,57.33,scattered clouds,7.1333,40.7,Sura Dare Village
147,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
150,Haimen,CN,71.49,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
160,Lagoa,PT,68.2,clear sky,39.05,-27.9833,Casa Das Faias
162,Youghal,IE,56.01,broken clouds,51.95,-7.8506,Quality Hotel and Leisure Centre Youghal
163,San Quintin,MX,66.11,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
168,Muskegon,US,71.46,clear sky,43.3,-86.1334,Timberline Estates
169,Chelmno,PL,55.35,overcast clouds,53.3485,18.4251,Apartament CCH
175,Yenagoa,NG,73.6,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
176,Plettenberg Bay,ZA,57.56,clear sky,-34.0527,23.3716,Thanda Vista B&B
178,Cap Malheureux,MU,73.89,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
183,Kaeo,NZ,61.32,overcast clouds,-35.1,173.7833,Bushido Lodge
184,Tsiroanomandidy,MG,74.08,light rain,-18.7667,46.0333,Hotel du Bongolave
186,Camacha,PT,73.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
187,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
190,Mount Isa,AU,71.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
195,Damghan,IR,58.15,few clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
198,Bereda,ES,69.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
205,Bathsheba,BB,74.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
210,Talcahuano,CL,58.1,clear sky,-36.7167,-73.1167,departamento comodo
217,Gueret,FR,59.63,broken clouds,46.1667,1.8667,Hôtel Restaurant Campanile Guéret
219,Broome,US,65.17,clear sky,42.2506,-75.833,Chenango Valley State Park
223,Ravar,IR,68.68,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
225,Ridgecrest,US,71.69,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
226,Oudtshoorn,ZA,59.29,clear sky,-33.5907,22.2014,Earthbound Guest House
233,Kinango,KE,70.11,broken clouds,-4.1372,39.3153,Legacy Hotel
