City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Guerrero Negro,MX,2021-10-17 07:47:01,27.9769,-114.0611,68.34,64,1,5.08
162,Vanavara,RU,2021-10-17 07:47:03,60.34,102.2797,35.28,63,90,4.92
163,Fort Nelson,CA,2021-10-17 07:42:30,58.8053,-122.7002,33.39,93,90,6.91
164,Diego De Almagro,CL,2021-10-17 07:47:08,-26.3667,-70.05,51.58,44,0,2.01
165,Weinan,CN,2021-10-17 07:47:11,34.5036,109.5089,58.69,55,100,4.81
166,Lasa,IT,2021-10-17 07:47:15,46.6166,10.7002,45.86,40,6,0.89
167,Bahia Blanca,AR,2021-10-17 07:46:16,-38.7196,-62.2724,56.5,34,100,8.61
168,Senneterre,CA,2021-10-17 07:47:20,48.3835,-77.2328,44.82,91,88,9.04
169,Kavaratti,IN,2021-10-17 07:47:22,10.5669,72.642,81.97,78,48,16.49
170,Geraldton,AU,2021-10-17 07:47:25,-28.7667,114.6,72.01,43,40,12.66
171,Cidreira,BR,2021-10-17 07:47:29,-30.1811,-50.2056,58.53,70,80,7.76
172,Greymouth,NZ,2021-10-17 07:46:01,-42.4667,171.2,55.69,90,100,10.33
173,Talnakh,RU,2021-10-17 07:47:34,69.4865,88.3972,33.89,99,100,11.16
174,Sao Filipe,CV,2021-10-17 07:47:36,14.8961,-24.4956,78.24,74,37,9.95
175,Catamarca,AR,2021-10-17 07:47:39,-28.4696,-65.7852,54.59,48,0,7.11
176,Kumba,CM,2021-10-17 07:47:41,4.6363,9.4469,78.91,81,100,0.56
177,Ellsworth,US,2021-10-17 07:47:43,44.5434,-68.4195,63.09,96,90,3.0
178,Phangnga,TH,2021-10-17 07:47:46,8.4509,98.5298,89.71,66,100,6.67
179,Kruisfontein,ZA,2021-10-17 07:47:48,-34.0033,24.7314,54.88,84,100,18.19
180,Daru,PG,2021-10-17 07:47:51,-9.0763,143.2092,82.44,78,100,8.32
181,Upernavik,GL,2021-10-17 07:47:53,72.7868,-56.1549,21.6,56,99,6.76
182,Santa Maria,BR,2021-10-17 07:44:46,-29.6842,-53.8069,49.73,91,100,7.07
183,Texarkana,US,2021-10-17 07:45:03,33.4251,-94.0477,52.02,76,1,3.44
184,Uyovu,TZ,2021-10-17 07:48:00,-3.2833,31.5258,77.23,60,19,5.59
185,Saint-Pierre,RE,2021-10-17 07:48:02,-21.3393,55.4781,79.57,62,75,5.75
186,Aitape,PG,2021-10-17 07:48:05,-3.1374,142.3475,82.13,81,100,5.26
187,Bathsheba,BB,2021-10-17 07:48:07,13.2167,-59.5167,77.61,88,40,4.61
188,Mount Gambier,AU,2021-10-17 07:48:10,-37.8333,140.7667,57.11,62,90,8.05
189,Sinegorye,RU,2021-10-17 07:48:12,62.0788,150.477,2.07,98,98,1.66
190,Gladstone,AU,2021-10-17 07:48:15,-23.85,151.25,76.93,61,18,11.5
191,Carnarvon,AU,2021-10-17 07:48:17,-24.8667,113.6333,73.47,53,1,16.11
192,San Rafael Del Sur,NI,2021-10-17 07:48:20,11.8485,-86.4384,74.64,88,100,4.43
193,Mar Del Plata,AR,2021-10-17 07:48:24,-38.0023,-57.5575,57.99,67,97,1.01
194,Plouzane,FR,2021-10-17 07:48:27,48.3833,-4.6167,50.32,100,75,5.75
195,Butaritari,KI,2021-10-17 07:48:29,3.0707,172.7902,81.68,73,10,8.81
196,Nueva Loja,EC,2021-10-17 07:48:34,0.0847,-76.8828,69.48,100,100,2.93
197,Charlestown,AU,2021-10-17 07:48:38,-32.95,151.6667,67.1,65,86,1.99
198,Nuevo Progreso,MX,2021-10-17 07:48:41,23.1667,-97.95,68.59,50,100,5.99
199,Veraval,IN,2021-10-17 07:48:46,20.9,70.3667,87.84,48,100,8.25
